gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-3.573255101318017785e-03,-2.115280800996750810e-02,7.378990216829119965e-03
-3.869698421351294715e-02,-2.420347110734866192e-02,2.498698230487099783e-02
-2.041481255237726292e-02,-9.045949586536405906e-02,-1.357206605556398465e-02
2.015818524477703752e-02,-3.596393641786265610e-02,-2.753330133390122572e-02
-5.709105142311461656e-02,1.959182920671591333e-02,-4.133854713258473118e-02
-5.346440565393813932e-02,-9.169366951154663686e-03,-5.156751125739643393e-02
-4.452072125427039562e-02,-8.205492002211650995e-03,-2.065783967625630865e-02
-7.544622528328075173e-02,6.226512121122892984e-03,-7.436445326664538336e-02
3.816036288922546732e-02,7.137926308153001546e-03,1.438787779933638905e-03
-8.152690047994617592e-03,-1.441872185874159586e-02,-9.421016875084409214e-02
-1.030026591499234312e-01,5.454575353324986331e-02,3.530018157823248959e-02
-6.255711460824010806e-02,-1.513441474077003093e-02,2.033614038630036230e-02
-5.303058607754156106e-02,5.925704800594095573e-02,-2.720179898718093695e-02
-4.028447239849507200e-02,1.240096696823197175e-01,1.434420280929871866e-03
2.484062347153251707e-02,-5.967726651604772503e-02,2.172530010748761550e-02
1.200451112628291711e-02,5.013875609033426051e-02,-4.653583312615031282e-03
-2.837348053752434748e-03,2.180934474416159133e-02,3.850859697530204483e-03
-7.546445671441527961e-03,1.059424852588399663e-02,7.441990493583967858e-02
-7.436341993910280945e-02,-2.145116852636114180e-02,-2.149886958967313355e-02
-1.892392976696954249e-02,2.029198624503213838e-02,-2.087939640217082934e-02
1.413748453995875010e-03,-3.655782079619319599e-03,-2.333392494694464664e-02
7.385109161025039948e-02,-3.791541697146079849e-03,1.300905124471090496e-02
-1.439090196019198603e-02,1.357572669897863515e-01,9.636124241473793817e-02
-1.753405821229585271e-02,3.375686829963541608e-03,-1.588559791786177747e-02
-4.984810195173790259e-02,2.924360334684256504e-02,-2.804842705660045774e-02
2.251340550983095892e-02,-1.556868014838841234e-02,1.142191242406592235e-02
-1.302097919878611801e-02,-4.636824318136423262e-02,-2.821517131339167095e-02
-2.904877627586196012e-02,-4.862905199246076587e-02,-4.050707334681045990e-02
1.739121566830729299e-02,-1.024929826726708564e-02,5.872369592752063258e-03
-2.712324742514739609e-02,8.221273715112811797e-02,-3.815353366451518236e-02
-1.654399631243983707e-03,4.007510322472274296e-03,-4.444895374334016658e-02
1.295326027884761977e-02,-2.059114679880564430e-02,8.261715538502671652e-02
2.777798957555416628e-02,2.521940623453126223e-02,-6.087450389477989943e-02
-4.156712433511744464e-02,-4.296409643163939807e-02,9.175245025496226933e-03
-4.891280804025965184e-02,3.422112397606973111e-02,-2.165679336829386820e-02
-1.289867273411528584e-02,9.698918749349576263e-02,-2.244281532781151195e-02
2.303016804978438511e-02,-3.219755544833725371e-03,-5.965167844421552512e-02
2.575902441074263971e-02,-3.242549371434137739e-03,-3.289221641169320920e-02
-4.912868587747466764e-02,2.483524740924159327e-02,-2.409189685837534456e-02
4.616030923481517952e-03,4.050719407244365855e-02,2.902473338175091955e-02
